user_id,game_name,payment_month,total_revenue,total_revenue_previous,status,age,has_older_device_model,language
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-04-01,36.84,49.8,active,25,False,ru
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-05-01,42.72,36.84,active,25,False,ru
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-06-01,31.95,42.72,active,25,False,ru
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-07-01,67.56,31.95,active,25,False,ru
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-08-01,73.41,67.56,active,25,False,ru
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-09-01,54.24,73.41,active,25,False,ru
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-10-01,56.64,54.24,active,25,False,ru
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-11-01,22.29,56.64,active,25,False,ru
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-12-01,110.01,22.29,active,25,False,ru
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-03-01,0.0,0.0,deactive,25,False,uk
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-04-01,0.0,0.0,deactive,25,False,uk
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-05-01,0.0,0.0,deactive,25,False,uk
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-06-01,0.0,0.0,deactive,25,False,uk
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-07-01,0.0,0.0,deactive,25,False,uk
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-08-01,42.72,0.0,new,25,False,uk
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-09-01,122.01,42.72,active,25,False,uk
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-10-01,80.03999999999999,122.01,active,25,False,uk
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-11-01,0.0,80.03999999999999,churn,25,False,uk
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-12-01,21.3,0.0,back,25,False,uk
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-03-01,0.0,0.0,deactive,24,False,uk
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-04-01,0.0,0.0,deactive,24,False,uk
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-05-01,0.0,0.0,deactive,24,False,uk
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-06-01,0.0,0.0,deactive,24,False,uk
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-07-01,0.0,0.0,deactive,24,False,uk
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-08-01,324.15,0.0,new,24,False,uk
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-09-01,220.07999999999998,324.15,active,24,False,uk
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-10-01,158.67,220.07999999999998,active,24,False,uk
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-11-01,161.1,158.67,active,24,False,uk
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-12-01,84.75,161.1,active,24,False,uk
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-03-01,0.0,0.0,deactive,25,False,ru
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-04-01,0.0,0.0,deactive,25,False,ru
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-05-01,0.0,0.0,deactive,25,False,ru
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-06-01,0.0,0.0,deactive,25,False,ru
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-07-01,0.0,0.0,deactive,25,False,ru
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-08-01,0.0,0.0,deactive,25,False,ru
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-09-01,28.32,0.0,new,25,False,ru
